Дата;Количество звезд;Комментарий;Лайки;Дизлайки
2022-09-06 08:37:02;5;Отличная тушь, хорошо удлинняет ресницы) была хорошо  упакована в пакет. пкупкой довольна;0;0
2022-09-06 08:22:10;3;Ожидала лучшего качества, но пришла не очень. Уже начала осыпаться;0;0
2022-09-06 07:17:55;1;Я не понимаю, откуда положительные отзывы!!! Тушь была открыта ( забирал муж и , естественно, не проверил ), сама очень жидкая и склёпывает  ресницы. Многим девочкам приходит наверное оригинал , а мне и остальным - контрафакт. Позор продавцу!!!;1;1
2022-09-06 06:47:52;5;Самая лучшая тушь🔥Щеточка тонкая прокрашивает все ресницы👍🏼;0;0
2022-09-06 06:26:55;5;Самая лучшая- нет равных;0;0
2022-09-06 06:12:15;5;сколько бы не пробовала сменить тушь - ОНА ЛУЧШАЯ!!!!;1;0
2022-09-06 05:53:01;5;Отличная, свежая тушь.Для сравнения: накрашен только один глаз.;4;1
2022-09-06 05:37:19;5;Отличная тушь.;0;0
2022-09-05 23:07:29;5;Пришла тушь хорошо упакована,что очень порадовало,а то многие пишут приходит просто туба без какой либо упаковки. Тушь видно,что свежая. Спасибо большое продавцу за быструю доставку.;0;0
2022-09-05 22:27:28;1;Тушь не запакована от слова совсем;0;0
2022-09-05 22:08:34;1;Вообще не упакованная тушь.Ни в коробку,ни в пакет,ни запечатана.Ну,это извините,гигиена,поэтому отказ!!!;0;1
2022-09-05 21:20:18;2;Подозрительный товар без какой-либо упаковки и защитного стика.. наводит на сомнения;0;0
2022-09-05 21:19:57;5;супер!!!!!;0;0
2022-09-05 19:35:32;2;Не запечатанна была. Кисточка гнётся. Похоже на подделку. Ресницы склеивает. Не понравилась. Колбочка для туши явно самая дешевая. Лёгкий пластик. Ощущение подделки сразу же как берёшь в руки. Печально....;0;1
2022-09-05 18:57:46;5;Тушь мне эта нравится, но отказ из за того, что пришла открытая, вообще без какой либо упаковки....распечатана.....очень жаль;0;0
2022-09-05 18:31:09;5;Тушь хорошая. Мне очень нравится. Беру не первый раз.;1;0
2022-09-05 17:49:46;5;Отличная тушь! Беру 2 раз,за 12 часов ничего не осыпалось и не размазалась и отлично разделяет реснички ! Хватило ее ровно на месяц;0;0
2022-09-05 16:57:08;2;Ресницы не разделяет, очень жидкая,;0;0
2022-09-05 16:55:15;1;Без упаковки , грязная;0;0
2022-09-05 16:41:41;5;Любимая тушь, обожаю ее, пользуюсь лет 7 уже;0;0
2022-09-05 16:27:01;5;Стойкая, не осыпается;1;0
2022-09-05 15:58:00;4;Пришла без упаковки, непонятно была ли вскрыта;0;0
2022-09-05 14:39:20;5;Великолепна!;0;0
2022-09-05 14:28:37;5;👍👌Хороший товар, пришёл быстро;0;0
2022-09-05 13:46:22;1;Тушь пришла без упаковки, нет пленки. было много заказов в офисе не заметила;0;0
2022-09-05 13:15:16;5;Тушь превзошла все ожидания! Спасибо за качество.;1;0
2022-09-05 12:12:54;5;Тушь пришла запакованная , свежая , даже короткие реснички удлиняет до небес) пользуюсь всю жизнь ей );0;0
2022-09-05 09:45:52;1;"Тушь прибыла совсем без упаковки - просто открытая, как будто из чужой косметички. Вполне допускаю, что ей уже пользовались... Пластик корпуса дешевый, с разводами; кисточка погнута... Короче - откровенный контрафакт. Вернула.";3;0
2022-09-05 09:19:19;5;Покупаю уже 2-й раз,дешевле чем в магазине;0;0
2022-09-05 08:40:53;5;Отличная тушь;0;0
2022-09-05 07:43:04;5;Класс спасибо;0;0
2022-09-05 07:14:54;1;Разочарована.Тушь без упаковки. Может её уже не однократно открывали?! О каком качестве может идти речь.;2;0
2022-09-05 07:07:15;5;Отличная тушь);0;0
2022-09-05 07:04:35;1;Сухая, туши совсем нет.;1;0
2022-09-05 06:31:05;5;Классная тушь;0;0
2022-09-05 05:59:20;5;Тушь волшебная) пользуюсь уже года 4!;0;0
2022-09-05 03:51:52;5;тушь хорошая и кисточка у нее удобная;0;0
2022-09-05 01:46:52;5;Заказываю у этого продавца не в первый раз! Тушь как в Летуаль, никакой разницы не увидела, кроме доступной стоимости! Рекомендую 💯%!;0;0
2022-09-05 00:38:00;5;Тушь просто супер!;0;0
2022-09-04 21:30:39;5;Тушь Супер!;0;0
2022-09-04 21:21:00;5;Отличная тушь. Рекомендую.;0;0
2022-09-04 20:21:53;5;Рекомендую шикарный эффект;0;0
2022-09-04 19:42:46;5;Отличная тушь, красит тоненько, и удлиняет очень хорошо. Делает взгляд выразительный.;0;0
2022-09-04 17:29:16;5;Туш не плохая,но кисточка очень уж тоненькая.;0;2
2022-09-04 17:25:05;5;Хорошая тушь для ресниц. Рекомендую к покупке.;0;0
2022-09-04 16:47:22;5;Тушь очень хорошая,иногда пробую что то новое,но всегда возвращаюсь к этой;0;0
2022-09-04 14:03:36;5;Всё отлично,тушь целая и невредимая.;0;0
2022-09-04 12:44:25;1;Пришла открытая. Отказ;2;0
2022-09-04 12:23:25;5;Огонь, такая, какой и должна быть;0;1
2022-09-04 11:47:47;5;Все хорошо как оригинал, только без наклейки на донышке.;0;0
2022-09-04 10:44:23;3;Тушь без упаковки, это, конечно, вызывает много сомнений. Но сама тушь хорошая;1;0
2022-09-04 10:29:08;1;Товар без упаковки без плёнки как так???;1;0
2022-09-04 10:28:50;5;Хорошо упакована , та самая тушь .;0;0
2022-09-04 10:02:01;1;"Продукт отличный. НО!!!!
Почему склад в Краснодаре считает нужным запаковывать товар, а Коледино шлёт потребителя на хер? Или это риторический вопрос?";5;0
2022-09-04 09:10:52;5;Лет 15 этой тушью пользуюсь,меньше 800 руб не находила и тут наткнулась тут за мизерную цену! Купила! Отличная! Спасибо вам!;2;0
2022-09-04 09:02:23;5;Девочки ,которые пишут ,что оригинал,очевидно не знакомы с ним.Не запечатана туба,просто в пакете вайб.Но тушь отличная !Советую.Доставка быстрая.;5;0
2022-09-04 08:40:20;5;Отличная тушь;0;0
2022-09-04 06:43:57;1;100 % подделка.  Разачерова;2;2
2022-09-04 06:35:49;5;Вроде такая же как оригинал, но щёточка не дугой, справа на фото настоящая;5;2
2022-09-04 04:58:52;2;Она такая густая, как старая;2;0
2022-09-03 23:07:49;5;Отличная тушь, беру каждый месяц, так как они стали суховаты, но это лучшая тушь;0;2
2022-09-03 22:44:06;5;Пришла хорошо упакована. Хорошая.;0;0
2022-09-03 21:24:32;3;Тушь  вскрыта, без упаковки, сухая. Явно пользовались.;1;0
2022-09-03 21:20:36;5;Беру не в первый раз, мне нравится. Пришла в упаковке.;0;0
2022-09-03 21:17:50;2;Мне пришел фейк;2;1
2022-09-03 20:10:15;5;Супер!как всегда!;0;1
2022-09-03 17:11:08;5;Отличная тушь , давно пользуюсь;0;1
2022-09-03 15:13:40;1;100% подделка ! Кривой колпачок , даже по цвету отличается . Пластик не похож на оригинал , без коробочки .;4;0
2022-09-03 14:14:38;5;Тушь хорошая. Беру не в первый раз.;0;1
2022-09-03 14:07:29;2;Тушь пришла не в упаковке, как будто уже старая, на ресницах посыпалась;2;0
2022-09-03 13:18:26;5;Тушь отличная 👌🏻Закажу ещё однозначно !512 р. на момент заказа,сейчас 483 р.;7;3
2022-09-03 12:54:29;5;тушь офигенная, пришла в упаковке;0;0
2022-09-03 12:42:48;5;Отлично в размер;0;1
2022-09-03 11:52:03;5;Тушь отличная. Моя любимая! Цена 483 адекватная! Доставка быстрая. Упаковано в герметичную упаковку;0;0
2022-09-03 11:28:32;5;Прочитала отзывы и удивилась! Тушь отличная! Оригинал 100%!!! Мне нравится больше всех, хотя пробовала и дорогие и расхваленные, но эта точно лучше!!!  Щеточка очень удобная! Ресницы разделяет прекрасно! Буду заказывать ещё! Спасибо продавцу!;1;0
2022-09-03 10:59:01;5;Подделка.подделка.дешевая;0;1
2022-09-03 09:43:27;5;Тушь отличная, мне понравилась по составу, не слишком жидкая, как в других некоторых магазинах и не сухая, хорошо ложится на ресницы, рекомендую;0;0
